component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
182,7,7,True,2,2,3,2,0.6,15,exact_parallel,0.0105
183,7,7,True,2,2,3,2,0.6,15,exact_parallel,0.0109
184,7,16,True,4,4,5,2,0.8,25,exact_parallel,0.0106
185,7,9,True,5,5,6,4,1.3076923076923077,26,exact_parallel,0.0173
186,7,7,True,2,2,3,1,0.5,14,exact_parallel,0.017
187,7,13,True,3,3,4,1,0.65,20,exact_parallel,0.0145
188,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.015
189,7,9,True,3,3,4,2,0.6470588235294118,17,exact_parallel,0.0129
190,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.0101
191,7,6,True,2,2,3,2,0.6666666666666666,15,exact_parallel,0.0096
192,7,6,True,2,2,3,2,0.6666666666666666,15,exact_parallel,0.0104
193,7,6,True,2,2,3,2,0.75,16,exact_parallel,0.0106
194,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0116
195,7,15,True,5,5,6,2,0.9259259259259259,27,exact_parallel,0.012
196,7,10,True,6,6,7,4,1.3214285714285714,28,exact_parallel,0.0108
197,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.011
198,7,6,True,2,2,3,2,0.5714285714285714,14,exact_parallel,0.0108
199,6,7,True,3,3,4,2,0.6428571428571429,14,exact_parallel,0.0107
200,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0108
201,6,6,True,3,3,4,3,0.8666666666666667,15,exact_parallel,0.0172
202,6,5,True,2,2,3,2,0.6923076923076923,13,exact_parallel,0.0118
203,6,13,True,5,5,6,2,0.8095238095238095,21,exact_parallel,0.0115
204,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.028
205,6,6,True,2,2,3,2,0.7142857142857143,14,exact_parallel,0.0214
206,6,9,True,3,3,4,2,0.6875,16,exact_parallel,0.0127
